[1, 760] | loss: 4.4428 | contrastive: 3.7976 | asl: 0.6452
[1, 765] | loss: 4.5183 | contrastive: 3.8337 | asl: 0.6845
[1, 770] | loss: 4.4478 | contrastive: 3.7971 | asl: 0.6507
[1, 775] | loss: 4.4691 | contrastive: 3.8239 | asl: 0.6453
[1, 780] | loss: 4.4322 | contrastive: 3.7990 | asl: 0.6332
[1, 785] | loss: 4.4349 | contrastive: 3.7924 | asl: 0.6426
[1, 790] | loss: 4.4765 | contrastive: 3.8090 | asl: 0.6675
[1, 795] | loss: 4.4914 | contrastive: 3.8208 | asl: 0.6706
[1, 800] | loss: 4.4902 | contrastive: 3.8074 | asl: 0.6828
[1, 805] | loss: 4.4736 | contrastive: 3.8284 | asl: 0.6452
[1, 810] | loss: 4.4405 | contrastive: 3.8016 | asl: 0.6389
[1, 815] | loss: 4.5180 | contrastive: 3.8389 | asl: 0.6792
[1, 820] | loss: 4.4727 | contrastive: 3.8049 | asl: 0.6678
[1, 825] | loss: 4.4717 | contrastive: 3.8284 | asl: 0.6433
[1, 830] | loss: 4.4600 | contrastive: 3.7847 | asl: 0.6753
[1, 835] | loss: 4.4736 | contrastive: 3.8270 | asl: 0.6466
[1, 840] | loss: 4.4155 | contrastive: 3.7862 | asl: 0.6293
[1, 845] | loss: 4.4931 | contrastive: 3.8145 | asl: 0.6787
[1, 850] | loss: 4.4655 | contrastive: 3.7881 | asl: 0.6774
[1, 855] | loss: 4.4742 | contrastive: 3.8051 | asl: 0.6691
[1, 860] | loss: 4.4933 | contrastive: 3.8238 | asl: 0.6695
[1, 865] | loss: 4.4489 | contrastive: 3.7815 | asl: 0.6674
[1, 870] | loss: 4.4742 | contrastive: 3.8225 | asl: 0.6517
[1, 875] | loss: 4.4912 | contrastive: 3.8152 | asl: 0.6760
[1, 880] | loss: 4.5052 | contrastive: 3.8292 | asl: 0.6760
[1, 885] | loss: 4.4278 | contrastive: 3.7893 | asl: 0.6384
[1, 890] | loss: 4.4726 | contrastive: 3.8024 | asl: 0.6702
[1, 895] | loss: 4.4305 | contrastive: 3.7825 | asl: 0.6480
